t # 0
e 91 100 138
e 91 58 139
e 6 5 140
e 6 101 141
e 6 102 142
e 6 103 143
e 97 104 144
e 50 2 145
e 50 69 146
e 105 1 147
e 105 47 148
e 106 50 149
e 106 2 150
e 106 107 151
e 106 108 152
e 106 109 153
e 106 110 154
e 106 111 155
e 106 112 156
e 106 113 157
e 106 11 158
e 106 114 159
e 106 115 160
e 106 116 161
e 108 12 162
e 108 117 163
e 118 117 164
e 77 16 165
e 77 1 166
e 119 16 167
e 119 16 168
e 120 1 169
e 120 16 170
e 120 53 171
e 120 53 172
e 120 5 173
e 121 122 174
e 121 123 175
e 122 15 176
e 122 124 177
e 123 122 178
e 123 125 179
e 123 126 180
e 123 127 181
e 128 15 182
e 81 100 183
e 125 68 184
e 125 68 185
e 125 129 186
e 125 129 187
e 125 130 188
e 125 131 189
e 125 15 190
e 125 56 191
e 125 132 192
e 125 133 193
e 127 67 194
e 134 52 195
e 134 52 196
e 134 135 197
e 134 136 198
e 134 2 199
e 52 137 200
e 52 138 201
e 52 139 202
e 52 140 203
e 52 125 204
e 52 65 205
e 52 141 206
e 52 2 207
e 137 1 208
e 137 16 209
e 137 3 210
e 137 142 211
e 137 143 212
e 137 144 213
e 138 145 214
e 142 146 215
e 19 147 216
e 146 3 217
e 146 19 218
e 148 1 219
e 148 149 220
e 149 150 221
e 149 151 222
e 149 152 223
e 149 58 224
e 149 153 225
e 149 1 226
e 150 13 227
e 151 154 228
e 155 152 229
e 155 156 230
e 155 157 231
e 78 158 232
e 159 15 233
e 159 143 234
e 144 156 235
e 144 69 236
e 144 139 237
e 160 144 238
e 160 161 239
e 160 8 240
e 160 162 241
e 160 163 242
e 160 15 243
e 160 16 244
e 164 144 245
e 135 165 246
e 136 2 247
e 165 166 248
e 166 167 249
e 102 168 250
e 102 101 251
e 139 145 252
e 139 16 253
e 139 169 254
e 139 144 255
e 139 143 256
e 139 170 257
e 139 112 258
e 171 2 259
e 172 1 260
e 172 173 261
e 173 4 262
e 173 18 263
e 174 1 264
e 174 72 265
e 72 1 266
e 175 18 267
e 175 1 268
e 175 176 269
e 176 15 270
e 177 173 271
e 153 1 272
e 178 1 273
e 178 52 274
e 178 179 275
e 178 112 276
e 178 180 277
e 140 109 278
e 140 106 279
e 109 181 280
e 110 109 281
e 110 1 282
e 179 182 283
e 179 15 284
e 179 126 285
e 183 178 286
e 183 179 287
e 183 184 288
e 183 52 289
e 185 186 290
e 185 187 291
e 185 188 292
e 186 12 293
e 187 189 294
e 188 186 295
e 188 57 296
e 189 190 297
e 92 191 298
e 92 192 299
e 92 180 300
e 191 162 301
e 162 193 302
e 162 194 303
e 163 195 304
e 196 162 305
e 197 162 306
e 197 163 307
e 197 1 308
e 197 52 309
e 197 180 310
e 198 163 311
e 198 98 312
e 98 7 313
e 199 15 314
e 199 180 315
e 200 199 316
e 200 15 317
e 200 195 318
e 200 1 319
e 201 200 320
e 201 15 321
e 202 199 322
e 202 162 323
e 203 202 324
e 129 16 325
e 129 125 326
e 130 97 327
e 131 2 328
e 131 17 329
e 70 82 330
e 70 65 331
e 184 112 332
e 184 106 333
e 113 112 334
e 204 114 335
e 204 205 336
e 141 112 337
e 141 206 338
e 206 112 339
e 207 141 340
e 207 2 341
e 208 1 342
e 208 209 343
e 208 69 344
e 209 210 345
e 209 4 346
e 209 211 347
e 209 125 348
e 210 212 349
e 213 212 350
e 53 210 351
e 54 214 352
e 54 48 353
e 54 112 354
e 79 53 355
e 79 125 356
e 80 112 357
e 80 125 358
e 56 1 359
e 56 15 360
e 56 215 361
e 170 15 362
e 170 112 363
e 216 1 364
e 216 112 365
e 216 217 366
e 63 7 367
e 215 186 368
e 215 218 369
e 218 186 370
e 218 18 371
e 219 18 372
e 220 214 373
e 220 221 374
e 220 91 375
e 221 144 376
e 222 144 377
e 222 214 378
e 222 98 379
e 223 144 380
e 223 224 381
e 224 225 382
e 225 226 383
e 227 214 384
e 227 2 385
e 228 15 386
e 228 214 387
e 228 229 388
e 229 1 389
e 229 70 390
e 71 15 391
e 71 230 392
e 231 214 393
e 231 115 394
e 115 65 395
e 115 91 396
e 116 115 397
e 232 233 398
e 232 234 399
e 232 230 400
e 233 7 401
e 234 122 402
e 234 15 403
e 234 235 404
e 234 65 405
e 236 15 406
e 236 122 407
e 211 237 408
e 238 209 409
e 133 239 410
t # 1
v 0 240
v 1 47
v 2 241
v 3 242
v 4 214
v 5 243
v 6 15
v 7 244
v 8 7
v 9 245
v 10 246
v 11 247
v 12 248
v 13 144
v 14 249
v 15 250
v 16 65
v 17 251
v 18 252
v 19 253
v 20 254
v 21 69
v 22 82
v 23 255
v 24 256
v 25 257
v 26 91
v 27 20
v 28 258
v 29 54
v 30 259
v 31 98
v 32 260
v 33 261
v 34 262
v 35 1
v 36 263
v 37 48
v 38 264
v 39 265
v 40 266
v 41 267
v 42 268
v 43 120
v 44 269
v 45 270
v 46 142
v 47 271
v 48 194
v 49 239
v 50 272
v 51 273
v 52 274
v 53 275
v 54 276
v 55 277
v 56 278
v 57 279
v 58 280
v 59 70
v 60 281
v 61 282
v 62 44
v 63 283
v 64 284
v 65 170
v 66 285
v 67 100
v 68 58
v 69 286
v 70 45
v 71 287
v 72 288
v 73 289
v 74 290
v 75 106
v 76 291
v 77 11
v 78 292
v 79 293
v 80 50
v 81 294
v 82 295
v 83 296
v 84 297
v 85 298
v 86 299
v 87 300
v 88 301
v 89 302
v 90 158
v 91 303
v 92 304
v 93 18
v 94 305
v 95 223
v 96 306
v 97 10
v 98 307
v 99 232
v 100 175
v 101 308
v 102 309
v 103 310
v 104 311
v 105 130
v 106 312
v 107 313
v 108 314
v 109 315
v 110 316
v 111 317
v 112 56
v 113 318
v 114 319
v 115 320
v 116 321
v 117 112
v 118 322
e 0 1 411
e 0 2 412
e 0 3 413
e 0 4 414
e 0 5 415
e 0 6 416
e 0 7 417
e 1 8 115
e 3 9 418
e 8 10 419
e 8 11 420
e 8 12 421
e 9 13 422
e 13 8 423
e 14 1 424
e 14 15 425
e 14 5 426
e 14 16 427
e 15 1 428
e 15 17 429
e 5 18 430
e 5 19 431
e 5 20 432
e 16 21 85
e 16 22 433
e 17 1 434
e 17 23 435
e 23 1 436
e 23 8 437
e 23 24 438
e 22 25 439
e 22 26 440
e 27 28 441
e 27 29 442
e 27 30 443
e 27 31 444
e 27 32 445
e 27 32 446
e 27 33 447
e 27 34 448
e 27 35 24
e 27 36 449
e 27 37 450
e 29 28 451
e 29 27 452
e 29 30 453
e 29 30 454
e 29 38 455
e 29 34 456
e 29 39 457
e 30 4 458
e 30 40 459
e 31 8 313
e 32 41 460
e 41 42 461
e 43 32 462
e 43 37 463
e 43 44 464
e 43 45 465
e 43 1 466
e 43 35 467
e 43 46 468
e 43 47 469
e 43 6 470
e 37 48 471
e 37 49 472
e 37 50 473
e 37 50 474
e 37 50 475
e 37 51 476
e 37 27 477
e 37 52 478
e 37 33 479
e 37 6 480
e 37 53 481
e 37 32 482
e 37 0 483
e 37 54 484
e 37 54 485
e 37 23 486
e 37 55 487
e 37 56 488
e 48 57 489
e 48 58 490
e 59 32 491
e 59 60 492
e 61 60 493
e 62 1 52
e 62 63 494
e 62 64 495
e 62 65 496
e 62 7 497
e 63 34 498
e 63 37 499
e 63 66 500
e 66 34 501
e 66 27 502
e 66 14 503
e 66 67 504
e 66 68 505
e 50 69 506
e 50 70 507
e 50 71 508
e 33 8 509
e 33 1 510
e 33 12 511
e 64 1 512
e 72 64 513
e 72 73 514
e 73 30 515
e 73 23 516
e 74 24 517
e 75 73 518
e 75 76 519
e 75 77 158
e 75 38 520
e 75 78 521
e 75 79 522
e 75 80 149
e 75 27 523
e 75 35 524
e 75 81 525
e 75 82 526
e 75 83 527
e 75 84 528
e 75 6 529
e 75 85 530
e 65 1 531
e 65 86 532
e 7 87 533
e 7 88 534
e 86 40 535
e 86 89 536
e 89 90 537
e 38 91 538
e 38 92 539
e 38 35 540
e 38 93 541
e 78 38 542
e 52 34 543
e 52 94 544
e 52 33 545
e 39 79 546
e 39 68 547
e 95 94 548
e 95 33 549
e 95 48 550
e 95 37 551
e 95 96 552
e 6 31 553
e 6 22 554
e 6 97 134
e 6 4 555
e 6 98 556
e 6 23 557
e 99 37 558
e 99 100 559
e 100 35 268
e 100 101 560
e 101 102 561
e 102 103 562
e 104 100 563
e 104 32 564
e 36 35 565
e 36 105 566
e 105 106 567
e 44 80 568
e 45 50 569
e 45 107 570
e 80 27 571
e 108 32 572
e 46 109 573
e 46 110 574
e 111 35 575
e 111 93 576
e 93 24 577
e 109 1 578
e 109 66 579
e 54 4 580
e 54 47 581
e 54 83 582
e 54 6 583
e 47 31 584
e 96 112 585
e 55 23 586
e 112 113 587
e 113 35 588
e 113 114 589
e 114 35 590
e 114 98 591
e 115 35 592
e 98 103 593
e 116 117 594
e 116 37 595
e 56 83 596
e 56 118 597
e 83 23 598
e 84 83 599
e 85 6 600
t # 2
v 0 323
v 1 324
v 2 47
v 3 325
v 4 7
v 5 48
v 6 326
v 7 327
v 8 328
v 9 4
v 10 329
v 11 330
v 12 331
v 13 332
v 14 333
v 15 334
v 16 335
v 17 336
v 18 337
v 19 338
v 20 339
v 21 340
v 22 341
v 23 342
v 24 343
v 25 344
v 26 345
v 27 346
v 28 347
v 29 348
v 30 349
v 31 350
v 32 351
v 33 352
v 34 353
v 35 354
v 36 355
v 37 356
v 38 357
v 39 358
v 40 359
v 41 360
v 42 361
v 43 362
v 44 61
v 45 98
v 46 191
v 47 363
v 48 69
v 49 183
v 50 97
v 51 178
v 52 364
v 53 365
v 54 366
v 55 1
v 56 20
v 57 367
v 58 64
v 59 120
v 60 5
v 61 144
v 62 145
v 63 368
v 64 369
v 65 370
v 66 371
v 67 372
v 68 373
v 69 174
v 70 134
v 71 374
v 72 375
v 73 376
v 74 377
v 75 265
v 76 44
v 77 378
v 78 302
v 79 379
v 80 380
v 81 131
v 82 381
v 83 382
v 84 383
v 85 384
v 86 385
v 87 386
v 88 387
v 89 267
v 90 104
v 91 271
v 92 388
v 93 389
v 94 106
v 95 390
v 96 295
v 97 110
v 98 391
v 99 392
v 100 393
v 101 394
v 102 395
v 103 396
v 104 397
v 105 268
v 106 90
v 107 233
v 108 398
v 109 399
v 110 100
v 111 311
v 112 125
v 113 81
v 114 400
v 115 401
v 116 402
v 117 403
v 118 142
v 119 404
v 120 405
v 121 406
v 122 407
v 123 244
v 124 408
v 125 409
v 126 410
v 127 411
v 128 412
v 129 274
v 130 413
v 131 414
v 132 415
v 133 416
v 134 417
v 135 58
v 136 418
v 137 419
v 138 420
v 139 143
v 140 421
v 141 169
v 142 422
v 143 52
v 144 423
v 145 424
v 146 112
v 147 425
v 148 181
v 149 426
v 150 427
v 151 428
v 152 91
v 153 429
v 154 430
v 155 240
v 156 431
v 157 432
v 158 83
v 159 433
v 160 434
v 161 435
v 162 436
v 163 437
v 164 438
v 165 158
v 166 257
v 167 439
v 168 440
v 169 88
v 170 441
v 171 442
v 172 284
v 173 197
v 174 443
v 175 444
v 176 445
v 177 446
v 178 447
v 179 448
v 180 449
v 181 450
v 182 205
v 183 451
v 184 452
v 185 453
v 186 454
v 187 455
v 188 456
v 189 457
v 190 458
v 191 140
v 192 190
v 193 459
v 194 460
v 195 461
v 196 462
v 197 214
v 198 207
v 199 463
v 200 464
v 201 465
v 202 466
v 203 63
v 204 467
v 205 232
v 206 263
v 207 468
v 208 469
v 209 470
v 210 127
v 211 471
v 212 2
v 213 31
v 214 472
v 215 473
v 216 474
v 217 475
v 218 176
v 219 476
v 220 477
v 221 478
v 222 209
v 223 479
v 224 480
v 225 481
v 226 129
v 227 138
v 228 482
v 229 105
v 230 483
v 231 484
v 232 255
v 233 485
v 234 486
v 235 315
v 236 487
v 237 488
v 238 489
v 239 198
v 240 65
v 241 490
v 242 491
v 243 492
v 244 493
v 245 494
v 246 225
v 247 495
v 248 496
v 249 497
v 250 62
v 251 498
v 252 499
v 253 17
v 254 500
v 255 501
v 256 502
v 257 11
v 258 503
v 259 504
v 260 505
v 261 223
v 262 506
e 0 1 601
e 1 2 602
e 1 3 603
e 2 4 115
e 2 5 604
e 2 2 605
e 2 6 606
e 2 7 607
e 4 8 608
e 4 7 609
e 4 9 610
e 4 10 611
e 4 11 612
e 4 12 613
e 4 13 614
e 4 14 615
e 4 15 616
e 4 16 617
e 4 17 618
e 4 18 619
e 4 19 620
e 4 20 621
e 4 21 622
e 4 22 623
e 4 23 624
e 4 24 625
e 4 25 626
e 4 26 627
e 4 27 628
e 4 28 629
e 4 29 630
e 4 30 631
e 4 31 632
e 4 32 633
e 4 33 634
e 4 34 635
e 4 35 636
e 4 36 637
e 4 37 638
e 4 38 639
e 4 39 640
e 4 40 641
e 4 41 642
e 4 42 643
e 43 44 644
e 43 45 645
e 43 46 646
e 43 47 647
e 43 48 648
e 45 4 313
e 45 2 649
e 49 43 650
e 49 50 651
e 49 51 286
e 49 52 652
e 49 53 653
e 49 54 654
e 50 55 655
e 50 3 656
e 55 4 8
e 56 55 24
e 56 57 657
e 56 2 658
e 56 58 659
e 56 45 444
e 57 4 660
e 59 50 661
e 59 50 662
e 59 60 173
e 59 5 463
e 59 61 663
e 59 62 664
e 60 63 665
e 64 50 666
e 64 65 667
e 65 57 668
e 66 64 669
e 66 2 670
e 67 2 671
e 67 68 672
e 68 4 673
e 69 2 674
e 70 71 675
e 70 72 676
e 70 73 677
e 70 74 678
e 70 5 679
e 70 75 680
e 70 76 681
e 70 77 682
e 71 2 683
e 71 78 684
e 72 2 685
e 72 79 686
e 5 2 687
e 5 2 688
e 5 2 689
e 5 61 690
e 5 61 691
e 5 61 692
e 5 80 693
e 5 81 694
e 5 81 695
e 5 82 696
e 5 23 697
e 5 83 698
e 5 84 699
e 5 85 700
e 5 86 701
e 5 87 702
e 5 88 703
e 5 89 704
e 5 90 705
e 5 91 706
e 5 92 707
e 93 78 708
e 94 79 709
e 94 95 710
e 94 96 526
e 94 61 711
e 94 97 154
e 98 44 712
e 98 99 713
e 98 100 714
e 99 101 715
e 99 102 716
e 99 103 717
e 102 2 718
e 103 57 719
e 103 104 720
e 103 45 721
e 103 105 722
e 106 103 723
e 106 107 724
e 106 108 725
e 107 4 401
e 109 108 726
e 109 2 727
e 109 110 728
e 111 99 729
e 111 103 730
e 112 113 731
e 112 114 732
e 112 115 733
e 112 116 734
e 112 117 735
e 112 118 736
e 112 61 737
e 112 61 738
e 114 2 739
e 114 119 740
e 114 61 741
e 120 121 742
e 120 103 743
e 121 122 744
e 122 57 745
e 122 45 746
e 122 123 747
e 124 121 748
e 124 125 749
e 126 121 750
e 126 59 751
e 61 4 423
e 61 127 752
e 61 61 753
e 61 128 754
e 61 19 755
e 61 26 756
e 129 61 757
e 130 61 758
e 131 61 759
e 132 133 760
e 132 61 761
e 132 134 762
e 134 61 763
e 134 135 764
e 97 61 765
e 136 61 766
e 137 138 767
e 137 139 768
e 137 140 769
e 137 141 770
e 140 142 771
e 143 112 204
e 143 144 772
e 143 145 773
e 115 146 774
e 116 146 775
e 117 146 776
e 118 147 777
e 147 146 778
e 147 148 779
e 148 4 780
e 76 143 59
e 76 2 52
e 76 44 781
e 76 61 782
e 76 149 783
e 150 2 784
e 150 151 785
e 150 152 786
e 151 87 787
e 152 110 138
e 23 55 788
e 87 2 789
e 87 112 790
e 87 153 791
e 87 57 792
e 87 70 793
e 87 55 794
e 87 89 795
e 87 100 796
e 87 154 797
e 145 61 798
e 145 61 799
e 145 81 800
e 155 151 801
e 155 2 411
e 155 156 802
e 156 55 803
e 157 61 804
e 157 123 805
e 123 158 806
e 123 159 807
e 123 160 808
e 123 161 809
e 123 162 810
e 123 163 811
e 123 164 812
e 123 165 813
e 123 166 814
e 123 167 815
e 123 168 816
e 123 169 817
e 123 170 818
e 123 171 819
e 128 158 820
e 172 61 821
e 173 61 822
e 173 174 823
e 174 175 824
e 174 176 825
e 174 177 826
e 174 178 827
e 174 44 828
e 174 61 829
e 175 44 830
e 175 179 831
e 175 112 832
e 175 178 833
e 176 180 834
e 181 57 835
e 181 174 836
e 181 122 837
e 178 182 838
e 183 174 839
e 183 184 840
e 184 185 841
e 185 179 842
e 186 86 843
e 86 187 844
e 86 84 845
e 86 2 846
e 86 45 847
e 86 188 848
e 86 189 849
e 187 190 850
e 84 123 851
e 191 139 852
e 191 55 853
e 191 192 854
e 191 193 855
e 192 194 856
e 193 195 857
e 193 2 858
e 193 135 859
e 196 55 860
e 196 45 861
e 196 197 862
e 195 87 863
e 195 45 864
e 198 193 865
e 199 45 866
e 199 87 867
e 199 48 868
e 200 45 869
e 200 122 870
e 201 87 871
e 201 178 872
e 144 55 873
e 144 87 874
e 144 202 875
e 144 202 876
e 144 203 877
e 144 88 878
e 202 61 879
e 202 61 880
e 202 190 881
e 202 204 882
e 205 54 883
e 205 206 884
e 54 202 885
e 54 207 886
e 54 45 887
e 54 208 888
e 206 45 889
e 206 5 890
e 206 174 891
e 207 31 892
e 81 61 893
e 209 202 894
e 209 210 895
e 210 123 896
e 211 123 897
e 211 202 898
e 73 90 899
e 73 212 900
e 73 45 901
e 73 87 902
e 74 90 903
e 74 213 904
e 74 214 905
e 90 190 906
e 90 215 907
e 90 216 908
e 90 217 909
e 90 61 910
e 212 90 911
e 212 90 912
e 212 178 913
e 212 218 914
e 212 219 915
e 220 90 916
e 221 178 917
e 221 61 918
e 213 90 919
e 214 222 920
e 222 223 921
e 222 61 922
e 222 4 923
e 223 44 924
e 224 70 925
e 83 87 926
e 83 135 927
e 225 55 928
e 225 51 929
e 225 226 930
e 51 227 931
e 51 228 932
e 226 55 933
e 226 123 934
e 229 55 147
e 229 55 935
e 229 230 936
e 230 23 937
e 230 2 938
e 231 55 939
e 231 232 940
e 227 135 941
e 52 44 942
e 52 2 943
e 52 233 944
e 52 55 945
e 52 234 946
e 233 5 947
e 82 55 948
e 235 226 949
e 235 236 950
e 237 45 951
e 237 73 952
e 237 192 953
e 75 135 954
e 75 91 955
e 75 238 956
e 239 83 957
e 239 5 958
e 91 240 959
e 91 57 960
e 91 241 961
e 240 61 962
e 77 242 963
e 243 61 964
e 243 115 965
e 242 115 966
e 242 244 967
e 244 2 968
e 244 5 969
e 85 2 970
e 85 245 971
e 85 123 972
e 245 122 973
e 188 246 974
e 189 2 975
e 189 247 976
e 247 123 977
e 247 123 978
e 53 2 979
e 53 248 980
e 208 45 981
e 208 123 982
e 249 53 983
e 249 212 984
e 88 2 985
e 88 89 986
e 88 100 987
e 88 45 988
e 88 154 989
e 88 57 990
e 88 212 991
e 88 250 992
e 88 119 993
e 88 135 994
e 89 90 995
e 89 251 996
e 89 252 997
e 89 219 998
e 89 253 999
e 89 5 1000
e 252 44 1001
e 254 89 1002
e 254 255 1003
e 255 61 1004
e 256 255 1005
e 241 257 1006
e 92 45 1007
e 92 87 1008
e 258 5 1009
e 250 57 1010
e 250 123 1011
e 259 218 1012
e 260 203 1013
e 260 45 1014
e 261 88 1015
e 261 81 1016
e 204 262 1017
t # 3
v 0 507
v 1 47
v 2 508
v 3 7
v 4 143
v 5 158
v 6 509
v 7 510
v 8 511
v 9 232
v 10 335
v 11 512
v 12 327
v 13 513
v 14 514
v 15 515
v 16 516
v 17 336
v 18 517
v 19 518
v 20 519
v 21 520
v 22 521
v 23 522
v 24 523
v 25 524
v 26 525
v 27 526
v 28 527
v 29 528
v 30 529
v 31 21
v 32 530
v 33 445
v 34 48
v 35 531
v 36 532
v 37 533
v 38 534
v 39 535
v 40 536
v 41 537
v 42 398
v 43 538
v 44 539
v 45 540
v 46 541
v 47 542
v 48 543
v 49 544
v 50 545
v 51 233
v 52 69
v 53 546
v 54 547
v 55 416
v 56 548
v 57 549
v 58 486
v 59 45
v 60 550
v 61 551
v 62 552
v 63 553
v 64 554
v 65 61
v 66 555
v 67 1
v 68 556
v 69 557
v 70 183
v 71 558
v 72 559
v 73 99
v 74 560
v 75 561
v 76 81
v 77 562
v 78 563
v 79 564
v 80 90
v 81 565
v 82 46
v 83 566
v 84 144
v 85 174
v 86 100
v 87 20
v 88 567
v 89 58
v 90 568
v 91 429
v 92 432
v 93 569
v 94 570
v 95 571
v 96 452
v 97 572
v 98 573
v 99 260
v 100 106
v 101 574
v 102 575
v 103 576
v 104 110
v 105 577
v 106 381
v 107 578
v 108 3
v 109 373
v 110 579
v 111 580
v 112 470
v 113 208
v 114 52
v 115 581
v 116 98
v 117 582
v 118 583
v 119 584
v 120 585
v 121 586
v 122 587
v 123 588
v 124 221
v 125 589
v 126 590
v 127 591
v 128 592
v 129 136
v 130 281
v 131 593
v 132 476
v 133 594
v 134 97
v 135 595
v 136 125
v 137 596
v 138 214
v 139 142
v 140 11
v 141 412
v 142 83
v 143 597
v 144 10
v 145 145
v 146 598
v 147 599
v 148 600
v 149 601
v 150 602
v 151 603
v 152 196
v 153 604
v 154 605
v 155 2
v 156 606
v 157 105
v 158 607
v 159 608
v 160 609
v 161 610
v 162 611
v 163 102
v 164 612
v 165 134
v 166 613
v 167 500
v 168 139
v 169 160
v 170 292
v 171 420
v 172 614
v 173 444
v 174 505
v 175 314
v 176 615
v 177 616
v 178 121
v 179 49
v 180 617
v 181 618
v 182 315
v 183 619
v 184 264
v 185 620
v 186 621
v 187 304
v 188 56
v 189 386
v 190 622
v 191 180
v 192 623
v 193 624
v 194 625
v 195 202
v 196 626
v 197 627
v 198 154
v 199 107
v 200 628
v 201 629
v 202 630
v 203 631
v 204 632
v 205 170
v 206 18
v 207 54
v 208 633
v 209 634
v 210 635
v 211 636
v 212 637
v 213 224
v 214 638
v 215 639
v 216 640
v 217 641
v 218 198
v 219 309
v 220 642
v 221 643
v 222 223
v 223 644
v 224 68
v 225 645
v 226 646
v 227 647
v 228 648
v 229 649
v 230 320
v 231 650
v 232 269
v 233 651
v 234 652
v 235 44
v 236 112
v 237 244
v 238 653
v 239 654
v 240 434
v 241 655
v 242 656
v 243 657
v 244 111
v 245 658
v 246 213
v 247 659
v 248 148
v 249 190
v 250 458
v 251 80
v 252 660
v 253 661
v 254 662
v 255 663
v 256 664
v 257 17
v 258 325
v 259 490
v 260 62
v 261 272
v 262 242
v 263 665
v 264 666
v 265 667
v 266 668
v 267 669
v 268 151
v 269 670
v 270 480
v 271 671
v 272 672
v 273 120
v 274 673
v 275 203
v 276 674
v 277 675
v 278 63
e 0 1 1018
e 0 2 1019
e 1 3 115
e 1 4 1020
e 1 5 1021
e 2 6 1022
e 2 7 1023
e 2 8 1024
e 2 9 1025
e 3 10 617
e 3 11 1026
e 3 12 609
e 3 13 1027
e 3 14 1028
e 3 15 1029
e 3 16 1030
e 3 17 618
e 3 18 1031
e 3 19 1032
e 3 20 1033
e 3 21 1034
