t # 0
v 0 0
v 1 1
v 2 2
v 3 3
v 4 4
v 5 5
v 6 6
v 7 7
v 8 8
v 9 9
v 10 10
v 11 11
v 12 12
v 13 13
v 14 14
v 15 15
v 16 16
v 17 17
v 18 18
v 19 19
v 20 20
v 21 21
v 22 22
v 23 23
v 24 24
v 25 25
v 26 26
v 27 27
v 28 28
v 29 29
v 30 30
v 31 31
v 32 32
v 33 33
v 34 34
v 35 35
v 36 36
v 37 37
v 38 38
v 39 39
v 40 40
v 41 41
v 42 42
v 43 43
v 44 44
v 45 45
v 46 46
v 47 47
v 48 48
v 49 49
v 50 50
v 51 51
v 52 52
v 53 53
v 54 54
v 55 55
v 56 56
v 57 57
v 58 58
v 59 59
v 60 60
v 61 61
v 62 62
v 63 63
v 64 64
e 57 22 85
e 57 26 86
e 58 26 87
e 59 6 88
e 59 59 89
e 59 60 90
e 59 61 91
e 26 6 92
e 26 62 93
e 26 63 94
e 64 58 95
t # 1
v 0 65
v 1 1
v 2 66
v 3 40
v 4 58
v 5 67
v 6 68
v 7 69
v 8 70
v 9 71
v 10 72
v 11 73
v 12 74
v 13 75
v 14 76
v 15 77
v 16 78
v 17 79
v 18 10
v 19 80
v 20 81
v 21 22
v 22 82
v 23 83
v 24 84
v 25 85
v 26 45
v 27 86
v 28 87
v 29 88
v 30 89
v 31 90
v 32 91
v 33 92
v 34 93
v 35 94
v 36 54
v 37 95
v 38 96
v 39 97
v 40 98
v 41 99
v 42 100
v 43 101
v 44 28
v 45 102
v 46 103
v 47 104
v 48 105
v 49 106
v 50 107
v 51 108
v 52 20
v 53 109
v 54 110
v 55 111
v 56 112
v 57 113
v 58 114
v 59 7
v 60 115
v 61 116
v 62 117
v 63 118
v 64 119
v 65 9
v 66 6
v 67 120
e 0 1 96
e 0 2 97
e 0 3 98
e 0 4 99
e 1 2 100
e 3 5 101
e 3 6 102
e 7 2 103
e 7 8 104
e 7 9 105
e 7 10 106
e 5 11 107
e 6 11 108
e 11 12 109
e 11 13 110
e 11 14 111
e 11 15 112
e 11 16 113
e 11 17 114
e 11 18 115
e 11 19 116
e 11 20 117
e 21 7 118
e 21 22 119
e 21 23 120
e 21 24 121
e 21 25 122
e 21 26 123
e 22 27 124
e 22 1 125
e 22 10 126
e 22 28 127
e 28 11 128
e 14 29 129
e 30 31 130
e 31 32 131
e 33 31 132
e 33 34 133
e 35 36 134
e 35 37 135
e 35 14 136
e 37 1 137
e 37 38 138
e 37 11 139
e 37 11 140
e 37 4 141
e 37 39 142
e 4 40 143
e 40 41 144
e 23 42 145
e 23 43 146
e 23 44 147
e 24 1 148
e 24 21 149
e 24 45 150
e 43 46 151
e 44 12 152
e 44 47 153
e 46 48 154
e 47 49 155
e 50 51 156
e 50 52 157
e 51 53 158
e 51 4 159
e 54 4 160
e 54 55 161
e 55 56 162
e 55 57 163
e 55 54 164
e 56 58 165
e 56 59 166
e 57 2 167
e 57 59 168
e 60 56 169
e 60 36 170
e 60 1 171
e 60 61 172
e 61 62 173
e 63 60 174
e 64 60 175
e 65 66 37
e 66 67 176
t # 2
v 0 121
v 1 9
v 2 122
v 3 42
v 4 6
v 5 123
v 6 124
v 7 125
v 8 126
v 9 127
v 10 128
v 11 129
v 12 130
v 13 131
v 14 98
v 15 68
v 16 132
v 17 112
v 18 133
v 19 87
v 20 73
v 21 74
v 22 80
v 23 29
v 24 76
v 25 134
v 26 135
v 27 136
v 28 137
v 29 138
v 30 54
v 31 139
v 32 140
v 33 25
v 34 0
v 35 141
v 36 142
v 37 143
v 38 144
v 39 111
v 40 145
v 41 146
v 42 147
v 43 1
v 44 148
v 45 149
v 46 150
v 47 151
v 48 20
v 49 152
v 50 153
v 51 154
v 52 65
v 53 155
v 54 22
v 55 27
v 56 156
v 57 157
v 58 158
v 59 159
v 60 160
v 61 161
v 62 162
v 63 163
v 64 164
v 65 165
v 66 45
v 67 107
v 68 166
v 69 167
v 70 168
v 71 169
v 72 58
v 73 170
v 74 171
v 75 172
v 76 173
v 77 174
v 78 175
v 79 176
v 80 89
v 81 177
v 82 178
v 83 179
v 84 180
v 85 181
v 86 182
v 87 15
v 88 183
v 89 184
v 90 185
v 91 186
v 92 51
v 93 187
v 94 188
v 95 189
v 96 190
v 97 191
v 98 192
v 99 193
v 100 194
v 101 195
v 102 196
v 103 197
v 104 24
v 105 198
v 106 199
v 107 200
v 108 201
v 109 202
v 110 32
v 111 203
v 112 204
v 113 205
v 114 70
e 0 1 177
e 0 2 178
e 0 3 179
e 0 3 180
e 1 4 37
e 1 5 181
e 2 6 182
e 2 7 183
e 3 4 184
e 3 1 185
e 4 8 186
e 4 9 187
e 4 10 188
e 4 11 189
e 4 12 190
e 4 13 191
e 6 14 192
e 7 15 193
e 16 6 194
e 16 17 195
e 17 18 196
e 18 19 197
e 19 20 128
e 20 21 109
e 20 22 116
e 20 23 198
e 20 24 111
e 20 25 199
e 26 16 200
e 15 27 201
e 27 28 202
e 29 30 203
e 29 31 204
e 29 32 205
e 32 33 206
e 34 32 207
e 34 35 208
e 35 36 209
e 35 37 210
e 36 38 211
e 39 34 212
e 39 40 213
e 41 29 214
e 42 43 215
e 42 44 216
e 44 43 217
e 44 39 218
e 44 1 219
e 40 35 220
e 40 45 221
e 40 46 222
e 40 47 223
e 40 48 224
e 40 1 225
e 40 30 226
e 45 6 227
e 49 1 228
e 49 50 229
e 50 4 230
e 51 30 231
e 51 52 232
e 51 53 233
e 52 47 234
e 52 54 235
e 47 55 236
e 54 56 237
e 54 20 238
e 54 57 239
e 54 58 240
e 54 59 241
e 54 60 242
e 54 61 243
e 54 62 244
e 54 63 245
e 54 64 246
e 56 20 247
e 56 65 248
e 65 66 249
e 67 20 250
e 67 68 251
e 67 69 252
e 67 30 253
e 70 20 254
e 70 47 255
e 71 72 256
e 71 73 257
e 74 72 258
e 74 31 259
e 74 55 260
e 74 1 261
e 74 1 262
e 75 73 263
e 75 76 264
e 76 77 265
e 78 75 266
e 79 47 267
e 79 40 268
e 80 40 269
e 80 40 270
e 81 1 271
e 53 1 272
e 82 43 273
e 82 83 274
e 82 84 275
e 82 85 276
e 83 6 277
e 83 56 278
e 83 72 279
e 14 86 280
e 87 88 281
e 87 89 282
e 90 87 283
e 90 6 284
e 90 84 285
e 90 35 286
e 90 91 287
e 92 90 288
e 92 93 289
e 92 94 290
e 92 95 291
e 92 96 292
e 94 87 293
e 94 97 294
e 94 98 295
e 96 87 296
e 96 6 297
e 98 87 298
e 98 95 299
e 57 35 300
e 57 6 301
e 58 35 302
e 58 90 303
e 61 35 304
e 61 99 305
e 61 100 306
e 62 35 307
e 62 100 308
e 62 101 309
e 62 67 310
e 102 91 311
e 102 54 312
e 102 43 313
e 102 76 314
e 101 100 315
e 101 103 316
e 68 100 317
e 68 32 318
e 104 32 319
e 104 90 320
e 104 54 321
e 104 105 322
e 104 106 323
e 104 60 324
e 69 77 325
e 107 43 326
e 107 108 327
e 107 109 328
e 108 110 329
e 108 69 330
e 5 4 331
e 5 111 332
e 63 112 333
e 63 113 334
e 64 106 335
e 106 114 336
e 106 105 337
t # 3
v 0 121
v 1 9
v 2 206
v 3 6
v 4 207
v 5 59
v 6 208
v 7 184
v 8 102
v 9 209
v 10 210
v 11 211
v 12 212
v 13 213
v 14 214
v 15 215
v 16 216
v 17 217
v 18 165
v 19 218
v 20 219
v 21 220
v 22 221
v 23 222
v 24 223
v 25 224
v 26 225
v 27 21
v 28 1
v 29 44
v 30 162
v 31 24
v 32 172
v 33 226
v 34 227
v 35 228
v 36 107
v 37 65
v 38 22
v 39 229
v 40 230
v 41 231
v 42 232
v 43 233
v 44 234
v 45 235
v 46 236
v 47 237
v 48 58
v 49 238
v 50 239
v 51 240
v 52 7
v 53 0
v 54 241
v 55 54
v 56 186
v 57 242
v 58 243
v 59 244
v 60 245
v 61 180
v 62 246
v 63 45
v 64 247
v 65 248
v 66 249
v 67 250
v 68 251
v 69 252
v 70 181
v 71 253
v 72 254
v 73 119
v 74 255
v 75 34
v 76 256
v 77 257
v 78 258
v 79 259
v 80 89
v 81 260
v 82 261
v 83 262
v 84 263
v 85 264
v 86 265
v 87 74
v 88 266
v 89 4
v 90 267
v 91 268
v 92 269
v 93 270
v 94 135
v 95 271
v 96 272
v 97 273
v 98 274
v 99 275
v 100 276
v 101 277
v 102 15
v 103 278
v 104 178
v 105 279
v 106 280
v 107 185
v 108 157
v 109 281
v 110 282
v 111 283
v 112 284
v 113 285
v 114 286
v 115 287
v 116 288
v 117 289
v 118 290
e 0 1 177
e 0 2 338
e 1 3 37
e 1 4 339
e 1 5 340
e 1 6 341
e 2 7 342
e 2 8 343
e 3 9 344
e 3 10 345
e 3 11 346
e 3 12 347
e 3 13 348
e 3 14 349
e 3 15 350
e 3 16 351
e 3 17 352
e 3 18 353
e 3 19 354
e 3 20 355
e 3 21 356
e 3 22 357
e 3 23 358
e 3 24 359
e 3 25 360
e 8 26 361
e 27 28 23
e 27 29 362
e 29 30 363
e 30 31 364
e 30 32 365
e 31 33 366
e 31 34 367
e 31 35 368
e 31 36 369
e 32 28 370
e 32 37 371
e 36 30 372
e 36 38 373
e 36 39 374
e 37 40 375
e 37 41 376
e 37 42 377
e 37 28 96
e 37 43 378
e 37 1 379
e 37 44 380
e 37 44 381
e 37 45 382
e 37 46 383
e 40 47 384
e 41 40 385
e 41 48 386
e 41 49 387
e 41 50 388
e 48 51 389
e 51 52 390
e 53 28 0
e 53 54 391
e 53 55 392
e 53 56 393
e 53 57 394
e 54 58 395
e 54 59 396
e 59 58 397
e 59 60 398
e 59 61 399
e 62 58 400
e 62 63 401
e 60 64 402
e 64 38 403
e 64 38 404
e 38 65 405
e 38 66 406
e 38 21 407
e 38 67 408
e 38 68 409
e 38 69 410
e 38 70 411
e 38 71 412
e 38 72 413
e 67 7 414
e 73 21 415
e 68 28 416
e 68 74 417
e 69 28 418
e 69 42 419
e 74 52 420
e 74 28 421
e 42 75 422
e 76 42 423
e 76 42 424
e 77 28 425
e 77 78 426
e 78 79 427
e 78 28 428
e 80 81 429
e 80 53 430
e 80 37 431
e 81 28 432
e 81 82 433
e 82 28 434
e 82 83 435
e 83 48 436
e 84 48 437
e 84 85 438
e 86 82 439
e 43 87 440
e 43 88 441
e 44 89 442
e 90 1 443
e 90 28 444
e 90 91 445
e 90 92 446
e 89 3 5
e 89 93 447
e 94 89 448
e 94 95 449
e 96 95 450
e 96 97 451
e 95 98 452
e 97 99 453
e 100 1 454
e 100 39 455
e 39 45 456
e 39 101 457
e 39 102 458
e 39 72 459
e 39 103 460
e 104 28 273
e 104 38 461
e 104 105 462
e 72 50 463
e 72 106 464
e 107 108 465
e 108 41 466
e 108 49 467
e 4 109 468
e 4 110 469
e 4 111 470
e 5 3 88
e 5 112 471
e 6 113 472
e 6 114 473
e 6 115 474
e 17 3 475
e 116 1 476
e 116 17 477
e 116 117 478
e 117 63 479
e 110 3 480
e 111 118 481
e 112 3 482
t # 4
v 0 291
v 1 1
v 2 292
v 3 22
v 4 293
v 5 294
v 6 295
v 7 296
v 8 121
v 9 297
v 10 298
v 11 20
v 12 185
v 13 299
v 14 300
v 15 301
v 16 302
v 17 303
v 18 304
v 19 40
v 20 305
v 21 9
v 22 306
v 23 307
v 24 48
v 25 6
v 26 308
v 27 45
v 28 267
v 29 309
v 30 310
v 31 167
v 32 24
v 33 311
v 34 312
v 35 313
v 36 25
v 37 4
v 38 314
v 39 315
v 40 316
v 41 317
v 42 318
v 43 319
v 44 320
v 45 31
v 46 32
v 47 321
v 48 110
v 49 155
v 50 54
v 51 226
v 52 322
v 53 323
v 54 324
v 55 325
v 56 326
v 57 111
v 58 327
v 59 328
v 60 74
v 61 139
v 62 171
v 63 0
e 0 1 483
e 0 2 484
e 2 3 485
e 3 4 486
e 3 5 487
e 3 6 488
e 3 7 489
e 3 8 490
e 3 9 491
e 3 10 492
e 5 10 493
e 6 11 494
e 10 7 495
e 12 1 496
e 12 13 497
e 13 14 498
e 13 15 499
e 16 14 500
e 16 17 501
e 16 18 502
e 19 13 503
e 19 20 504
e 20 14 505
e 8 21 177
e 8 22 506
e 9 23 507
e 9 24 508
e 21 21 509
e 21 25 37
e 22 26 510
e 23 21 511
e 23 27 512
e 28 21 443
e 28 21 513
e 28 29 514
e 30 9 515
e 30 21 516
e 31 3 517
e 31 32 518
e 31 33 519
e 32 34 520
e 32 35 521
e 32 36 522
e 34 37 523
e 35 34 524
e 37 25 5
e 37 38 525
e 25 39 526
e 25 40 527
e 25 41 528
e 42 3 529
e 43 44 530
e 43 45 531
e 43 46 532
e 43 47 533
e 48 43 534
e 48 49 535
e 49 50 536
e 49 1 537
e 49 51 538
e 51 52 539
e 53 49 540
e 54 1 541
e 54 55 542
e 56 57 543
e 56 21 544
e 57 58 545
e 58 59 546
e 59 60 547
e 59 61 548
e 62 59 549
e 62 59 550
e 63 21 551
e 63 50 392
t # 5
v 0 321
v 1 9
v 2 42
v 3 329
v 4 58
v 5 194
v 6 330
v 7 6
v 8 139
v 9 331
v 10 239
v 11 54
v 12 22
v 13 70
v 14 332
v 15 333
v 16 334
v 17 335
v 18 336
v 19 337
v 20 338
v 21 339
v 22 340
v 23 341
v 24 342
v 25 343
v 26 344
v 27 133
v 28 250
v 29 345
v 30 346
v 31 347
v 32 110
v 33 348
v 34 20
v 35 45
v 36 349
v 37 265
v 38 350
v 39 351
v 40 352
v 41 136
v 42 77
v 43 89
v 44 353
v 45 24
v 46 25
v 47 354
v 48 355
v 49 356
v 50 357
v 51 1
v 52 0
v 53 32
v 54 358
v 55 65
v 56 107
v 57 306
v 58 359
v 59 360
v 60 361
v 61 362
v 62 363
v 63 43
v 64 364
v 65 7
v 66 365
v 67 366
v 68 367
v 69 276
v 70 117
v 71 368
v 72 369
v 73 370
v 74 371
v 75 372
v 76 373
v 77 118
v 78 374
v 79 375
v 80 376
v 81 377
v 82 378
v 83 230
v 84 307
v 85 297
v 86 379
v 87 380
v 88 381
v 89 289
v 90 382
v 91 201
v 92 383
v 93 123
v 94 59
v 95 384
v 96 385
v 97 386
v 98 387
v 99 388
v 100 326
v 101 389
v 102 320
v 103 138
v 104 390
v 105 391
v 106 283
v 107 392
e 0 1 552
e 0 2 553
e 0 3 554
e 0 4 555
e 0 5 556
e 0 6 557
e 1 7 37
e 1 8 558
e 1 9 559
e 1 10 560
e 2 1 561
e 3 11 562
e 3 1 563
e 3 12 564
e 3 13 565
e 7 14 566
e 7 15 567
e 7 16 568
e 7 17 569
e 7 18 570
e 7 19 571
e 7 20 572
e 7 21 573
e 7 22 574
e 7 23 575
e 7 24 576
e 7 25 577
e 7 26 578
e 12 27 579
e 12 28 408
e 12 1 580
e 12 1 581
e 27 29 582
e 28 29 583
e 29 30 584
e 29 30 585
e 29 31 586
e 32 29 587
e 32 33 588
e 32 3 589
e 32 34 590
e 33 35 591
e 35 36 592
e 37 33 593
e 38 33 594
e 38 39 595
e 38 40 596
e 40 41 597
e 41 42 598
e 43 3 599
e 43 44 600
e 44 29 601
e 45 44 602
e 45 44 603
e 45 46 522
e 45 47 604
e 45 29 605
e 45 48 606
e 45 35 607
e 45 49 608
e 45 49 609
e 47 7 610
e 50 51 611
e 50 52 612
e 50 1 613
e 52 53 614
e 52 13 615
e 52 34 616
e 54 51 617
e 54 55 618
e 54 56 619
e 55 53 620
e 55 57 621
e 55 1 379
e 55 58 622
e 56 59 623
e 56 60 624
e 61 57 625
e 61 57 626
e 61 62 627
e 62 57 628
e 62 63 629
e 63 35 69
e 63 64 630
e 59 53 631
e 59 65 632
e 59 66 633
e 66 67 634
e 68 51 635
e 68 4 636
e 68 12 637
e 68 69 638
e 4 8 639
e 4 70 640
e 69 53 641
e 69 71 642
e 72 4 643
e 73 58 644
e 73 74 645
e 75 1 646
e 75 4 647
e 76 4 648
e 76 4 649
e 77 75 650
e 71 72 651
e 71 78 652
e 78 79 653
e 80 51 654
e 80 81 655
e 81 51 656
e 81 82 657
e 82 83 658
e 82 84 659
e 84 83 660
e 85 84 507
e 85 86 661
e 86 83 662
e 86 45 663
e 48 29 664
e 60 4 665
e 60 84 666
e 60 87 667
e 5 88 668
e 6 89 669
e 6 5 670
e 89 36 671
e 89 31 672
e 90 89 673
e 90 89 674
e 91 4 675
e 91 92 676
e 91 93 677
e 91 93 678
e 91 7 679
e 91 94 680
e 92 49 681
e 49 95 682
e 49 96 683
e 95 88 684
e 96 11 685
e 96 97 686
e 96 98 687
e 97 99 688
e 98 5 689
e 100 1 690
e 100 1 544
e 100 101 691
e 101 102 692
e 101 1 693
e 101 103 694
e 101 3 695
e 103 13 696
e 103 104 697
e 104 13 698
e 93 7 331
e 93 105 699
e 93 106 700
e 106 107 701
e 94 7 88
t # 6
v 0 121
v 1 42
v 2 393
v 3 394
v 4 395
v 5 396
v 6 107
v 7 397
v 8 398
v 9 399
v 10 400
v 11 401
v 12 84
v 13 54
v 14 402
v 15 354
v 16 321
v 17 110
v 18 403
v 19 122
v 20 291
v 21 404
v 22 32
v 23 40
v 24 405
v 25 406
v 26 407
v 27 408
v 28 249
v 29 409
v 30 1
v 31 21
v 32 9
v 33 410
v 34 411
v 35 412
v 36 413
v 37 6
v 38 139
v 39 414
v 40 45
v 41 415
v 42 416
v 43 417
v 44 201
v 45 418
v 46 345
v 47 346
v 48 89
v 49 257
v 50 0
v 51 7
v 52 326
v 53 419
v 54 420
v 55 421
v 56 422
v 57 423
v 58 424
e 0 1 702
e 2 1 703
e 2 3 704
e 3 4 705
e 5 6 706
e 5 7 707
e 5 8 708
e 6 9 709
e 6 10 710
e 7 11 711
e 7 12 712
e 9 13 713
e 9 14 714
e 9 15 715
e 10 16 716
e 17 6 717
e 17 6 718
e 16 14 719
e 16 18 720
e 16 19 721
e 20 10 722
e 20 21 723
e 21 9 724
e 11 22 725
e 11 14 726
e 11 23 727
e 12 22 728
e 12 14 729
e 12 24 730
e 23 25 731
e 23 26 732
e 25 27 733
e 24 28 734
e 29 30 735
e 29 31 736
e 31 13 737
e 31 32 738
e 31 33 739
e 31 34 740
e 31 35 741
e 32 36 742
e 32 37 37
e 33 38 743
e 39 32 744
e 39 40 745
e 41 33 746
e 42 43 747
e 44 45 748
e 44 46 749
e 46 47 584
e 48 49 750
e 48 50 751
e 50 32 752
e 50 51 753
e 52 19 754
e 52 32 544
e 19 13 755
e 19 47 756
e 19 53 757
e 19 15 758
e 19 54 759
e 53 55 760
e 15 37 610
e 55 16 761
e 55 9 762
e 37 56 763
e 37 57 764
e 37 58 765
t # 7
v 0 121
v 1 9
v 2 22
v 3 48
v 4 425
v 5 42
v 6 6
v 7 1
v 8 185
v 9 426
v 10 427
v 11 428
v 12 429
v 13 65
v 14 430
v 15 431
v 16 208
v 17 214
v 18 432
v 19 433
v 20 271
v 21 434
v 22 435
v 23 436
v 24 218
v 25 437
v 26 438
v 27 439
v 28 440
v 29 441
v 30 424
v 31 0
v 32 442
v 33 4
v 34 230
v 35 414
v 36 54
v 37 443
v 38 444
v 39 263
v 40 445
v 41 29
v 42 74
v 43 110
v 44 446
v 45 291
v 46 288
v 47 252
v 48 447
v 49 448
v 50 351
v 51 32
v 52 449
v 53 450
v 54 34
v 55 451
v 56 20
v 57 452
v 58 453
v 59 454
v 60 47
v 61 45
v 62 455
v 63 456
v 64 457
v 65 155
v 66 279
v 67 458
v 68 46
v 69 49
v 70 24
v 71 226
v 72 44
v 73 27
v 74 459
v 75 460
v 76 461
v 77 462
v 78 292
v 79 256
v 80 207
v 81 463
v 82 26
v 83 464
v 84 465
v 85 466
v 86 28
v 87 286
v 88 59
v 89 467
v 90 468
e 0 1 177
e 0 2 766
e 0 3 767
e 0 4 768
e 0 5 179
e 1 6 37
e 1 7 769
e 2 1 580
e 2 8 770
e 2 9 771
e 2 10 772
e 2 11 773
e 2 12 774
e 2 13 775
e 2 13 776
e 2 14 777
e 2 15 778
e 5 16 779
e 6 17 349
e 6 18 780
e 6 19 781
e 6 20 782
e 6 21 783
e 6 2 784
e 6 22 785
e 6 23 786
e 6 24 787
e 6 25 788
e 6 26 789
e 6 27 790
e 6 28 791
e 6 29 792
e 6 30 765
e 8 7 496
e 8 31 793
e 32 1 794
e 32 33 795
e 33 6 5
e 31 34 796
e 31 35 797
e 31 36 392
e 31 7 0
e 31 37 798
e 35 38 799
e 35 33 800
e 39 35 801
e 16 40 802
e 16 41 803
e 16 42 804
e 43 44 805
e 43 45 806
e 43 46 807
e 43 47 808
e 43 48 809
e 43 49 810
e 44 7 811
e 44 50 812
e 45 36 813
e 45 51 814
e 45 52 815
e 52 51 816
e 52 53 817
e 52 7 818
e 53 54 819
e 55 56 820
e 55 7 821
e 55 2 822
e 55 57 823
e 46 36 824
e 46 7 825
e 46 58 826
e 47 7 418
e 47 59 827
e 47 60 828
e 58 61 829
e 59 62 830
e 60 51 831
e 48 7 832
e 48 63 833
e 63 7 834
e 64 63 835
e 49 36 836
e 49 7 837
e 49 65 838
e 49 66 839
e 65 7 537
e 65 67 840
e 68 51 70
e 69 68 73
e 70 71 366
e 70 71 841
e 70 72 842
e 70 73 34
e 71 14 843
e 72 71 844
e 72 74 845
e 14 6 846
e 75 70 847
e 75 76 848
e 76 51 849
e 13 37 850
e 13 77 851
e 13 14 852
e 13 14 853
e 13 78 854
e 77 6 855
e 79 14 856
e 12 14 857
e 12 80 858
e 12 81 859
e 12 12 860
e 15 82 861
e 80 83 862
e 80 84 863
e 80 85 864
e 81 86 865
e 86 87 866
e 88 81 867
e 88 6 88
e 78 89 868
e 90 78 869
t # 8
v 0 200
v 1 1
v 2 469
v 3 7
v 4 470
v 5 471
v 6 22
v 7 20
v 8 354
v 9 472
v 10 6
v 11 473
v 12 474
v 13 475
v 14 476
v 15 477
v 16 478
v 17 479
v 18 480
v 19 481
v 20 482
v 21 483
v 22 484
v 23 485
v 24 486
v 25 487
v 26 488
v 27 489
v 28 490
v 29 491
v 30 492
v 31 493
v 32 494
v 33 495
v 34 347
v 35 496
v 36 349
v 37 382
v 38 70
v 39 497
v 40 458
v 41 498
v 42 351
v 43 312
v 44 499
v 45 0
v 46 109
v 47 139
v 48 500
v 49 501
v 50 84
v 51 502
v 52 58
v 53 503
v 54 504
v 55 208
v 56 505
v 57 21
v 58 136
v 59 123
v 60 506
v 61 285
v 62 171
v 63 507
v 64 16
v 65 47
v 66 320
v 67 31
v 68 32
v 69 508
v 70 110
v 71 155
v 72 54
v 73 226
v 74 46
v 75 49
v 76 509
v 77 9
v 78 510
v 79 414
v 80 511
v 81 283
v 82 512
v 83 513
e 0 1 326
e 0 2 870
e 2 3 871
e 2 3 872
e 4 2 873
e 5 6 874
e 5 7 875
e 6 8 876
e 6 9 877
e 8 10 610
e 8 11 878
e 9 8 879
e 9 12 880
e 10 11 881
e 10 13 882
e 10 14 883
e 10 15 884
e 10 16 885
e 10 17 886
e 10 18 887
e 10 19 888
e 10 20 889
e 10 21 890
e 10 22 891
e 10 23 892
e 10 24 893
e 10 25 894
e 10 26 895
e 10 27 896
e 10 28 897
e 10 29 898
e 10 30 899
e 10 31 900
e 10 32 901
e 10 33 902
e 12 34 903
e 12 35 904
e 12 36 905
e 37 38 906
e 37 39 907
e 37 7 908
e 40 41 909
e 40 42 910
e 41 43 911
e 43 44 912
e 45 46 913
e 45 47 914
e 45 7 915
e 45 38 615
e 48 49 916
e 48 50 917
e 48 7 918
e 48 51 919
e 49 10 920
e 50 8 921
e 50 52 922
e 50 53 923
e 50 54 924
e 51 55 925
e 55 56 926
e 57 1 23
e 57 52 927
e 52 10 928
e 52 38 929
e 52 58 930
e 53 9 931
e 54 53 932
e 54 12 933
e 54 52 934
e 59 10 331
e 60 59 935
e 60 52 936
e 58 61 937
e 62 52 258
e 62 52 938
e 63 52 939
e 63 64 940
e 63 8 941
e 65 66 942
e 65 67 943
e 65 68 831
e 65 69 944
e 70 65 945
e 70 71 535
e 71 72 536
e 71 1 537
e 71 73 538
e 73 3 946
e 73 40 947
e 74 68 70
e 75 74 73
e 76 77 948
e 76 78 949
e 76 79 950
e 77 10 37
e 78 10 951
e 79 59 952
e 79 80 953
e 81 82 954
e 81 59 955
e 81 10 956
e 81 81 957
e 81 83 958
e 30 59 959
e 30 10 960
t # 9
v 0 22
v 1 514
v 2 515
v 3 516
v 4 517
v 5 430
v 6 9
v 7 518
v 8 519
v 9 520
v 10 521
v 11 191
v 12 522
v 13 83
v 14 374
v 15 523
v 16 524
v 17 284
v 18 525
v 19 526
v 20 24
v 21 527
v 22 55
v 23 528
v 24 529
v 25 28
v 26 530
v 27 531
v 28 532
v 29 533
v 30 534
v 31 535
v 32 500
v 33 291
v 34 462
v 35 536
v 36 4
v 37 499
v 38 537
v 39 538
v 40 539
v 41 540
v 42 541
v 43 542
v 44 543
v 45 544
v 46 545
v 47 546
v 48 547
v 49 548
v 50 549
v 51 550
v 52 122
v 53 551
v 54 552
v 55 133
v 56 553
v 57 554
v 58 234
v 59 278
v 60 555
v 61 556
v 62 557
v 63 113
v 64 558
v 65 559
v 66 560
v 67 123
v 68 561
v 69 562
v 70 563
v 71 564
v 72 161
v 73 346
v 74 565
v 75 566
v 76 567
v 77 289
v 78 568
v 79 569
v 80 570
v 81 571
v 82 572
v 83 573
v 84 574
v 85 575
v 86 576
v 87 577
v 88 578
v 89 579
v 90 580
v 91 581
v 92 141
v 93 384
v 94 582
v 95 583
v 96 584
v 97 585
v 98 586
v 99 587
v 100 588
v 101 301
v 102 246
v 103 26
v 104 107
v 105 292
v 106 589
v 107 590
v 108 82
v 109 283
v 110 591
v 111 325
v 112 264
v 113 84
v 114 398
v 115 592
v 116 40
v 117 593
v 118 594
v 119 595
